Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,
217,Erik Ezukanma,23,MIA,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,2.5,0,,EzukEr00
218,Xavier Hutchinson,23,HOU,WR,16,0,5,49,0,3,100.0,17,9.8,3.1,0.3,0,,HutcXa00
219,Kyle Juszczyk,32,SFO,FB,17,16,5,6,0,2,60.0,3,1.2,0.4,0.3,0,"PB,AP-1",JuszKy00
220,Drew Lock,27,SEA,QB,4,2,5,14,0,1,20.0,11,2.8,3.5,1.3,0,,LockDr00
221,Kene Nwangwu,25,MIN,RB,9,0,5,13,0,0,40.0,8,2.6,1.4,0.6,0,,NwanKe00
222,Brandon Powell,28,MIN,WR,17,2,5,17,0,1,60.0,9,3.4,1.0,0.3,1,,PoweBr00
223,Malik Willis,24,TEN,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1.7,1,,WillMa12
224,Jameis Winston,29,NOR,QB,7,0,5,-6,0,0,0.0,-1,-1.2,-0.9,0.7,0,,WinsJa00
225,Jamal Agnew,28,JAX,WR,11,1,4,-2,0,0,0.0,1,-0.5,-0.2,0.4,1,,AgneJa00
226,Brandon Bolden,33,LVR,RB,17,0,4,31,1,2,50.0,26,7.8,1.8,0.2,0,,BoldBr00
227,Tim Boyle,29,NYJ,QB,3,2,4,5,0,3,75.0,2,1.3,1.7,1.3,2,,BoylTi00
228,Elijah Dotson,24,LAC,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,1.0,0,,DotsEl00
229,Devin Duvernay,26,BAL,WR,13,1,4,15,0,0,50.0,8,3.8,1.2,0.3,0,,DuveDe00
230,Chris Godwin,27,TAM,WR,17,17,4,38,1,3,75.0,19,9.5,2.2,0.2,0,,GodwCh00
231,Marquise Goodwin,33,CLE,WR,12,0,4,33,0,2,50.0,20,8.3,2.8,0.3,0,,GoodMa00
232,Deonte Harty,26,BUF,WR,16,1,4,0,0,0,25.0,,0.0,0.0,0.3,2,,HarrDe07
233,Jakobi Meyers,27,LVR,WR,16,16,4,24,2,3,75.0,17,6.0,1.5,0.3,0,,MeyeJa01
234,D.J. Moore,26,CHI,WR,17,17,4,21,1,1,50.0,16,5.3,1.2,0.2,1,,MoorD.00
235,Amon-Ra St. Brown,24,DET,WR,16,16,4,24,0,2,75.0,11,6.0,1.5,0.3,1,"PB,AP-1",StxxAm00
236,Christian Watson,24,GNB,WR,9,9,4,11,0,1,25.0,13,2.8,1.2,0.4,0,,WatsCh00
237,Garrett Wilson,23,NYJ,WR,17,17,4,0,0,1,50.0,,0.0,0.0,0.2,2,,WilsGa00
238,Matt Barkley,33,JAX,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,3.0,0,,BarkMa00
239,Jacoby Brissett,31,WAS,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,1.0,0,,BrisJa00
240,DeAndre Carter,30,LVR,WR,17,1,3,18,0,2,66.7,15,6.0,1.1,0.2,2,,CartDe02
241,Ja'Marr Chase,23,CIN,WR,16,16,3,-6,0,0,0.0,2,-2.0,-0.4,0.2,1,PB,ChasJa00
242,Sean Clifford,25,GNB,QB,2,0,3,-2,0,0,0.0,,-0.7,-1.0,1.5,1,,ClifSe00
243,Andy Dalton,36,CAR,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,1.0,0,,DaltAn00
244,Gerald Everett,29,LAC,TE,15,12,3,10,0,0,33.3,6,3.3,0.7,0.2,3,,EverGe00
245,Derrick Gore,29,WAS,RB,6,0,3,26,0,1,33.3,23,8.7,4.3,0.5,0,,GoreDe00
246,Brian Hoyer,38,LVR,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,1.0,0,,HoyeBr00
247,Quentin Johnston,22,LAC,WR,17,10,3,9,0,0,33.3,6,3.0,0.5,0.2,0,,JohnQu02
248,Cole Kmet,24,CHI,TE,17,17,3,2,0,2,66.7,1,0.7,0.1,0.2,1,,KmetCo00
249,Zonovan Knight,22,DET,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,1.5,0,,KnigZo00
250,Ray-Ray McCloud,27,SFO,WR,12,1,3,30,0,2,100.0,15,10.0,2.5,0.3,1,,McClRa00
251,Isaiah McKenzie,28,IND,WR,13,2,3,14,0,0,33.3,7,4.7,1.1,0.2,3,,McKeIs00
252,Bo Melton,24,GNB,WR,5,1,3,21,0,2,100.0,12,7.0,4.2,0.6,0,,MeltBo00
253,Ty Montgomery,30,NWE,RB,13,0,3,9,0,0,33.3,7,3.0,0.7,0.2,0,,MontTy01
254,Skyy Moore,23,KAN,WR,14,8,3,23,0,1,100.0,11,7.7,1.6,0.2,0,,MoorSk01
255,Devine Ozigbo,27,DET,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,1.0,0,,OzigDe01
256,Trey Palmer,22,TAM,WR,17,8,3,22,0,1,66.7,13,7.3,1.3,0.2,3,,PalmTr00
257,George Pickens,22,PIT,WR,17,16,3,18,0,2,66.7,16,6.0,1.1,0.2,3,,PickGe00
258,Brett Rypien,27,LAR,QB,2,1,3,19,0,1,66.7,8,6.3,9.5,1.5,2,,RypiBr00
259,Tyquan Thornton,23,NWE,WR,9,3,3,51,0,1,66.7,39,17.0,5.7,0.3,0,,ThorTy00
260,Jaylen Waddle,25,MIA,WR,14,14,3,12,0,1,33.3,12,4.0,0.9,0.2,0,,WaddJa00
261,Jonathan Ward,26,TEN,RB,7,0,3,11,0,1,33.3,8,3.7,1.6,0.4,0,,WardJo00
262,Jameson Williams,22,DET,WR,12,10,3,29,1,1,100.0,19,9.7,2.4,0.3,1,,WillJa11
263,Keenan Allen,31,LAC,WR,13,13,2,6,0,1,100.0,4,3.0,0.5,0.2,2,PB,AlleKe00
264,Nick Bawden,27,NYJ,FB,16,2,2,4,1,1,50.0,3,2.0,0.3,0.1,0,,BawdNi00
265,Tyler Boyd,29,CIN,WR,17,13,2,11,0,1,100.0,6,5.5,0.6,0.1,0,,BoydTy00
266,Teddy Bridgewater,31,DET,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,BridTe00
267,Marquise Brown,26,ARI,WR,14,14,2,23,0,1,50.0,29,11.5,1.6,0.1,0,,BrowMa04
268,Ashtyn Davis,27,NYJ,S,17,5,2,3,0,1,50.0,4,1.5,0.2,0.1,1,,DaviAs00
269,D'Wayne Eskridge,26,SEA,WR,4,0,2,5,0,1,50.0,10,2.5,1.3,0.5,0,,EskrDW00
270,Chris Evans,26,CIN,RB,8,0,2,12,0,0,0.0,7,6.0,1.5,0.3,0,,EvanCh02
271,Jake Funk,25,IND,RB,4,0,2,10,0,0,0.0,7,5.0,2.5,0.5,0,,FunkJa00
272,DeAndre Hopkins,31,TEN,WR,17,16,2,9,0,0,100.0,5,4.5,0.5,0.1,0,,HopkDe00
273,Alec Ingold,27,MIA,FB,17,13,2,0,0,0,0.0,,0.0,0.0,0.1,0,PB,IngoAl01
274,Charlie Jones,25,CIN,WR,11,0,2,13,0,1,100.0,7,6.5,1.2,0.2,0,,JoneCh11
275,Case Keenum,35,HOU,QB,2,2,2,1,0,0,0.0,1,0.5,0.5,1.0,1,,KeenCa00
276,Davis Mills,25,HOU,QB,6,0,2,9,0,0,50.0,9,4.5,1.5,0.3,0,,MillDa02
277,Darnell Mooney,26,CHI,WR,15,14,2,5,0,0,0.0,3,2.5,0.3,0.1,0,,MoonDa00
278,Chris Moore,30,TEN,WR,17,5,2,39,0,1,50.0,38,19.5,2.3,0.1,1,,MoorCh00
279,Chigoziem Okonkwo,24,TEN,TE,17,11,2,6,0,1,50.0,4,3.0,0.4,0.1,0,,OkonCh00
280,Nathan Peterman,29,CHI,QB,2,0,2,-4,0,0,0.0,-2,-2.0,-2.0,1.0,1,,PeteNa00
281,Adam Prentice,26,NOR,FB,13,1,2,12,0,1,100.0,7,6.0,0.9,0.2,1,,PrenAd00
282,Jalen Reeves-Maybin,28,DET,LB,17,0,2,3,0,1,50.0,3,1.5,0.2,0.1,0,"PB,AP-2",ReevJa00
283,Ben Skowronek,26,LAR,WR,17,0,2,9,0,1,50.0,11,4.5,0.5,0.1,0,,SkowBe00
284,Kenyan Drake,29,2TM,RB,3,0,2,0,0,0,0.0,,0.0,0.0,0.7,1,,DrakKe00
284,Kenyan Drake,29,BAL,RB,2,0,1,0,0,0,0.0,,0.0,0.0,0.5,1,,DrakKe00
284,Kenyan Drake,29,GNB,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,,DrakKe00
