Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
56,John Jenkins,34,LVR,DT,17,17,0,0,0,0,4,0,0,1,44,1,1.0,61,24,37,4,2,0,,JenkJo00
57,Rayshawn Jenkins,29,JAX,SS,17,17,2,42,0,24,9,0,0,0,0,0,1.0,101,66,35,7,1,0,,JenkRa00
58,Austin Johnson,29,LAC,DL,17,17,0,0,0,0,2,1,0,1,0,0,0.0,46,24,22,2,1,0,,JohnAu01
59,Jermaine Johnson II,24,NYJ,LB,17,17,1,37,1,37,7,1,0,1,0,0,7.5,55,36,19,11,16,0,PB,JohnJe07
60,Paris Johnson,22,ARI,OL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,JohnPa03
61,Taron Johnson,27,BUF,CB,17,17,0,0,0,0,8,3,0,1,0,0,1.0,98,72,26,3,2,0,AP-2,JohnTa01
62,Justin Jones,27,CHI,RDT,17,17,0,0,0,0,4,0,0,0,0,0,4.5,49,29,20,10,17,0,,JoneJu03
63,Cameron Jordan,34,NOR,DE,17,17,0,0,0,0,3,0,0,1,0,0,2.0,43,20,23,3,6,0,,JordCa00
64,Ted Karras,30,CIN,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,KarrTe00
65,Cole Kmet,24,CHI,TE,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,KmetCo00
66,CeeDee Lamb,24,DAL,WR,17,17,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-3",LambCe00
67,DeMarcus Lawrence,31,DAL,DE,17,17,0,0,0,0,6,1,0,0,0,0,4.0,50,29,21,10,8,0,PB,LawrDe00
68,Deommodore Lenoir,24,SFO,DB,17,17,3,49,0,28,10,0,0,0,0,0,0.0,84,58,26,1,0,0,,LenoDe00
69,David Long,27,MIA,LB,17,17,0,0,0,0,1,1,0,0,0,0,1.0,113,64,49,9,6,0,,LongDa04
70,Jordan Love,25,GNB,QB,17,17,0,0,0,0,0,0,9,3,-6,0,0.0,0,0,0,0,0,0,,LoveJo03
71,Frankie Luvu,27,CAR,LILB,17,17,0,0,0,0,5,2,0,0,0,0,5.5,125,66,59,10,11,0,,LuvuFr00
72,Khalil Mack,32,LAC,OLB,17,17,0,0,0,0,10,5,0,0,0,0,17.0,74,57,17,21,22,0,"PB,AP DPoY-9",MackKh00
73,Nnamdi Madubuike,26,BAL,DT,17,17,0,0,0,0,0,1,0,0,0,0,13.0,56,38,18,12,33,0,"PB,AP-2,AP DPoY-9",MaduJu00
74,Tyrann Mathieu,31,NOR,S,17,17,4,122,1,74,9,0,0,0,0,0,0.0,75,50,25,0,1,0,,MathTy00
75,Baker Mayfield,28,TAM,QB,17,17,0,0,0,0,0,0,8,3,-5,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-3",MayfBa00
76,Connor McGovern,26,BUF,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,McGoCo01
77,Xavier McKinney,25,NYG,FS,17,17,3,22,0,18,11,1,0,2,7,0,0.5,116,78,38,2,1,0,,McKiXa00
78,Terry McLaurin,28,WAS,WR,17,17,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,,McLaTe00
79,Quinn Meinerz,25,DEN,OL,17,17,0,0,0,0,0,0,0,1,10,0,0.0,0,0,0,0,0,0,,MeinQu02
80,Josh Metellus,25,MIN,S,17,17,1,43,0,43,5,4,0,1,0,0,2.5,116,78,38,7,10,0,,MeteJo00
81,Tre'von Moehrig,24,LVR,S,17,17,3,41,0,25,8,0,0,0,0,0,2.0,83,65,18,1,2,0,,MoehTr00
82,D.J. Moore,26,CHI,WR,17,17,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,,MoorD.00
83,C.J. Mosley,31,NYJ,LB,17,17,1,0,0,0,7,2,0,1,0,0,0.5,152,81,71,5,2,0,,MoslC.00
84,Puka Nacua,22,LAR,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP ORoY-2",NacuPu00
85,Bilal Nichols,27,LVR,LDT,17,17,0,0,0,0,1,0,0,1,8,1,1.5,48,25,23,4,2,0,,NichBi00
86,Derrick Nnadi,27,KAN,DT,17,17,0,0,0,0,1,0,0,0,0,0,1.0,29,16,13,1,1,0,,NnadDe00
87,Osa Odighizuwa,25,DAL,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.0,46,26,20,9,13,0,,OdigOs00
88,Larry Ogunjobi,29,PIT,DT,17,17,0,0,0,0,2,1,0,2,0,0,3.0,43,21,22,3,8,0,,OgunLa00
89,Bobby Okereke,27,NYG,LB,17,17,2,62,0,55,10,4,0,0,0,0,2.5,149,92,57,11,6,0,,OkerBo00
90,Foyesade Oluokun,28,JAX,LB,17,17,1,24,1,24,6,1,0,3,0,0,2.5,173,111,62,8,10,0,,OluoFo00
91,Cade Otton,24,TAM,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,OttoCa00
92,Dylan Parham,24,LVR,G,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,ParhDy00
93,Micah Parsons,24,DAL,LB,17,17,0,0,0,0,2,1,0,1,0,0,14.0,64,36,28,18,33,0,"PB,AP-2,AP DPoY-3",ParsMi00
94,Daron Payne,26,WAS,DT,17,17,0,0,0,0,4,2,0,2,0,0,4.0,53,32,21,13,11,0,,PaynDa00
95,Harrison Phillips,27,MIN,DL,17,17,0,0,0,0,2,0,0,0,0,0,3.0,92,44,48,2,6,0,,PhilHa00
96,Michael Pierce,31,BAL,NT,17,17,0,0,0,0,2,1,0,2,0,0,1.0,42,24,18,2,3,0,,PierMi00
97,Tony Pollard,26,DAL,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,PollTo00
98,Germaine Pratt,27,CIN,LB,17,17,2,9,0,9,3,2,0,0,0,0,2.0,118,63,55,7,3,0,,PratGe00
99,Dak Prescott,30,DAL,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-5",PresDa01
100,Patrick Queen,24,BAL,LB,17,17,1,21,0,21,6,1,0,1,0,0,3.5,133,84,49,9,6,0,"PB,AP-2",QueePa00
101,Haason Reddick,29,PHI,OLB,17,17,0,0,0,0,1,0,0,0,0,0,11.0,38,29,9,13,23,0,PB,ReddHa00
102,Calvin Ridley,29,JAX,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-7,RidlCa00
103,Roy Robertson-Harris,30,JAX,DL,17,17,0,0,0,0,1,0,0,0,0,0,3.5,34,16,18,3,11,0,,RobeRo00
104,Khalen Saunders,27,NOR,DT,17,17,0,0,0,0,1,0,0,0,0,0,0.0,57,24,33,1,2,0,,SaunKh00
105,Isaac Seumalo,30,PIT,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SeumIs00
106,Penei Sewell,23,DET,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1",SewePe00
107,Nathan Shepherd,30,NOR,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.5,50,27,23,4,8,0,,ShepNa00
108,Zach Sieler,28,MIA,DT,17,17,1,5,1,5,4,1,0,2,3,0,10.0,63,32,31,11,22,0,,SielZa00
