Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
DT,Dexter Lawrence,NYG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,32,4.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 1st Tm",LawrDe03
DT,Quinnen Williams,NYJ,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,39,5.5,1,"FW: 1st Tm All-Conf., PFF: 2nd Tm",WillQu00
OLB,Micah Parsons,DAL,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,36,14.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",ParsMi00
OLB,T.J. Watt,PIT,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,48,19.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",WattT.00
OLB,Danielle Hunter,MIN,29,8,17,17,0,0,0,0,0,0,0,0,0,0,0,54,16.5,0,FW: 1st Tm All-Conf.,HuntDa01
OLB,Josh Hines-Allen,JAX,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,43,17.5,1,FW: 1st Tm All-Conf.,AlleJo03
MLB,Fred Warner,SFO,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,82,2.5,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WarnFr00
MLB,Roquan Smith,BAL,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,84,1.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm",SmitRo07
LB,Demario Davis,NOR,34,11,17,17,0,0,0,0,0,0,0,0,0,0,0,74,6.5,0,"AP: 2nd Tm, PFF: 1st Tm",DaviDe00
LB,Quincy Williams,NYJ,27,4,17,16,0,0,0,0,0,0,0,0,0,0,0,95,2.0,1,AP: 1st Tm,WillQu01
LB,Bobby Wagner,SEA,33,11,17,16,0,0,0,0,0,0,0,0,0,0,0,96,3.5,0,AP: 2nd Tm,WagnBo00
LB,Patrick Queen,BAL,24,3,17,17,0,0,0,0,0,0,0,0,0,0,0,84,3.5,1,AP: 2nd Tm,QueePa00
LB,C.J. Mosley,NYJ,31,9,17,17,0,0,0,0,0,0,0,0,0,0,0,81,0.5,1,PFF: 2nd Tm,MoslC.00
CB,DaRon Bland,DAL,24,1,17,15,0,0,0,0,0,0,0,0,0,0,0,53,0.0,9,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",BlanDa00
CB,Sauce Gardner,NYJ,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,41,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",GardSa00
CB,Jaylon Johnson,CHI,24,3,14,14,0,0,0,0,0,0,0,0,0,0,0,31,0.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm",JohnJa13
CB,Patrick Surtain II,DEN,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,59,0.0,1,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",SurtPa01
CB,Trent McDuffie,KAN,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,60,3.0,0,"AP: 1st Tm, PFF: 2nd Tm",McDuTr00
CB,Devon Witherspoon,SEA,23,Rook,14,13,0,0,0,0,0,0,0,0,0,0,0,56,3.0,1,PFF: 2nd Tm,WithDe00
CB,Kendall Fuller,WAS,28,7,15,15,0,0,0,0,0,0,0,0,0,0,0,55,0.0,2,PFF: 2nd Tm,FullKe00
CB,Charvarius Ward,SFO,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,56,0.0,5,AP: 2nd Tm,WardCh01
CB,Taron Johnson,BUF,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,72,1.0,0,AP: 2nd Tm,JohnTa01
LS,Ross Matiscik,JAX,27,3,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0,"AP: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm",MatiRo00
LS,Andrew DePaola,MIN,36,9,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,AP: 2nd Tm,DePaAn00
LS,Mitchell Fraboni,DEN,27,1,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,PFF: 2nd Tm,FrabMi00
S,Jessie Bates III,ATL,26,5,17,17,0,0,0,0,0,0,0,0,0,0,0,89,0.0,6,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",BateJe00
S,Kyle Hamilton,BAL,22,1,15,15,0,0,0,0,0,0,0,0,0,0,0,63,3.0,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm",HamiKy00
