Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
OLB,Haason Reddick,NFC,PHI,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,29,11.0,0,,ReddHa00
OLB,Khalil Mack%,AFC,LAC,32,9,17,17,0,0,0,0,0,0,0,0,0,0,0,57,17.0,0,,MackKh00
MLB,Fred Warner%,NFC,SFO,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,82,2.5,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WarnFr00
MLB,Roquan Smith,AFC,BAL,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,84,1.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm",SmitRo07
MLB,Demario Davis+,NFC,NOR,34,11,17,17,0,0,0,0,0,0,0,0,0,0,0,74,6.5,0,"AP: 2nd Tm, PFF: 1st Tm",DaviDe00
MLB,Patrick Queen,AFC,BAL,24,3,17,17,0,0,0,0,0,0,0,0,0,0,0,84,3.5,1,AP: 2nd Tm,QueePa00
MLB,Bobby Wagner,NFC,SEA,33,11,17,16,0,0,0,0,0,0,0,0,0,0,0,96,3.5,0,AP: 2nd Tm,WagnBo00
CB,DaRon Bland,NFC,DAL,24,1,17,15,0,0,0,0,0,0,0,0,0,0,0,53,0.0,9,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",BlanDa00
CB,Sauce Gardner,AFC,NYJ,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,41,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",GardSa00
CB,Jaylon Johnson,NFC,CHI,24,3,14,14,0,0,0,0,0,0,0,0,0,0,0,31,0.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm",JohnJa13
CB,Patrick Surtain II,AFC,DEN,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,59,0.0,1,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",SurtPa01
CB,Devon Witherspoon,NFC,SEA,23,Rook,14,13,0,0,0,0,0,0,0,0,0,0,0,56,3.0,1,PFF: 2nd Tm,WithDe00
CB,Charvarius Ward%,NFC,SFO,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,56,0.0,5,AP: 2nd Tm,WardCh01
CB,Denzel Ward,AFC,CLE,26,5,13,11,0,0,0,0,0,0,0,0,0,0,0,30,0.0,2,,WardDe02
CB,Jalen Ramsey,AFC,MIA,29,7,10,10,0,0,0,0,0,0,0,0,0,0,0,18,0.0,3,,RamsJa00
CB,Darius Slay+,NFC,PHI,32,10,12,12,0,0,0,0,0,0,0,0,0,0,0,48,0.0,2,,SlayDa00
SS,Kyle Hamilton,AFC,BAL,22,1,15,15,0,0,0,0,0,0,0,0,0,0,0,63,3.0,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm",HamiKy00
SS,Budda Baker,NFC,ARI,27,6,12,12,0,0,0,0,0,0,0,0,0,0,0,58,0.0,0,,BakeBu00
SS,Julian Love,NFC,SEA,25,4,17,12,0,0,0,0,0,0,0,0,0,0,0,85,0.0,4,,LoveJu00
FS,Jessie Bates III,NFC,ATL,26,5,17,17,0,0,0,0,0,0,0,0,0,0,0,89,0.0,6,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",BateJe00
FS,Justin Simmons,AFC,DEN,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,53,1.0,3,AP: 2nd Tm,SimmJu00
FS,Minkah Fitzpatrick,AFC,PIT,27,5,10,10,0,0,0,0,0,0,0,0,0,0,0,43,0.0,0,,FitzMi00
LS,Ross Matiscik,AFC,JAX,27,3,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0,"AP: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm",MatiRo00
LS,Andrew DePaola,NFC,MIN,36,9,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,AP: 2nd Tm,DePaAn00
K,Brandon Aubrey,NFC,DAL,28,Rook,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",AubrBr00
K,Justin Tucker,AFC,BAL,34,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,TuckJu00
P,AJ Cole III,AFC,LVR,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",ColeAJ01
P,Bryan Anger,NFC,DAL,35,11,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm",AngeBr00
RET,Rashid Shaheed,NFC,NOR,25,1,15,8,0,0,0,0,0,7,37,0,46,719,5,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",ShahRa00
RET,Marvin Mims,AFC,DEN,21,Rook,16,7,0,0,0,0,0,9,30,0,22,377,1,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",MimsMa00
ST,Miles Killebrew,AFC,PIT,30,7,17,1,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",KillMi00
ST,Jalen Reeves-Maybin%,NFC,DET,28,6,17,0,1,1,31,0,0,2,3,0,0,0,0,13,1.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm",ReevJa00
ST,Nick Bellore+,NFC,SEA,34,12,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0,,BellNi01
